"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API Contract","3","0","Boundary Conditions","0"
"0","","0","Data Consistency","6","0","Order Consistency","0"
"0","","0","Orders","4","0","Order Detail","0"
"0","","0","API Contract","2","0","Response Format","0"
"0","","0","Orders","9","0","Checkout","0"
"0","","0","Cart","6","0","Update Cart Item","0"
"0","","0","Products","11","0","List Products","0"
"0","","0","Authentication","9","0","User Registration","0"
"0","","0","Cart","2","0","View Cart","0"
"0","","0","Orders","6","0","Cancel Order","0"
"0","","0","End-to-End Flows","5","0","Full User Journey","0"
"0","","0","Orders","6","0","Order History","0"
"0","","0","Products","4","0","List Products — Combined Filters","0"
"0","","0","Products","3","0","Product Detail","0"
"0","","0","Cart","9","0","Add to Cart","0"
"0","","0","Cart","3","0","Remove Cart Item","0"
"0","","0","Authentication","5","0","User Login","0"
"0","","0","Products","0","4","Known Failures — Unimplemented Features","0"
"0","","0","Authentication","3","0","Logout","0"
"0","","0","API Contract","3","0","Malformed Requests","0"
"0","","0","Authentication","2","0","Current User Profile","0"
"0","","0","Data Consistency","2","0","Cart Consistency","0"
"0","","0","Authentication","4","0","JWT Security","0"
"0","","0","Products","6","0","Create Product","0"
"0","","0","Cart","2","0","Clear Cart","0"
"0","","0","Authentication","0","1","Known Failures — Unimplemented Features","0"
"0","","0","Data Consistency","2","0","Product Search Consistency","0"
